,video_id,video_title,channel_name
0,arj7oStGLkU,Tim Urban: Inside the mind of a master procrastinator | TED,TED
1,6Af6b_wyiwI,Bill Gates: The next outbreak? We’re not ready | TED,TED
2,eIho2S0ZahI,How to speak so that people want to listen | Julian Treasure,TED
3,DFjIi2hxxf0,Tom Thum: The orchestra in my mouth | TED,TED
4,KM4Xe6Dlp0Y,"Looks aren't everything. Believe me, I'm a model. | Cameron Russell",TED
5,GZGY0wPAnus,The art of misdirection | Apollo Robbins,TED
6,zIwLWfaAg-8,Elon Musk: The future we're building -- and boring | TED,TED
7,xYemnKEKx0c,Strange answers to the psychopath test | Jon Ronson,TED
8,8KkKuTCFvzI,Robert Waldinger: What makes a good life? Lessons from the longest study on happiness | TED,TED
9,P_6vDLq64gE,How to spot a liar | Pamela Meyer,TED
10,XFnGhrC_3Gs,How I held my breath for 17 minutes | David Blaine,TED
11,Ks-_Mh1QhMc,Your body language may shape who you are | Amy Cuddy,TED
12,iG9CE55wbtY,Do schools kill creativity? | Sir Ken Robinson,TED
13,7jx0dTYUO5E,Mary Roach: 10 things you didn't know about orgasm | TED,TED
14,PdxPCeWw75k,Hyeonseo Lee: My escape from North Korea | TED,TED
15,iCvmsMzlF7o,The power of vulnerability | Brené Brown,TED
16,9kxL9Cf46VM,"A Saudi, an Indian and an Iranian walk into a Qatari bar ... | Maz Jobrani",TED
17,qp0HIF3SfI4,How great leaders inspire action | Simon Sinek,TED
18,c0KYU2j0TM4,The power of introverts | Susan Cain,TED
19,8jPQjjsBbIc,How to stay calm when you know you'll be stressed | Daniel Levitin,TED
20,RcGyVTAoXEU,How to make stress your friend | Kelly McGonigal,TED
21,gnuFrtTNUTc,My journey to yo-yo mastery | BLACK,TED
22,CDsNZJTWw0w,"New bionics let us run, climb and dance | Hugh Herr",TED
23,P2AUat93a8Q,Rethinking infidelity ... a talk for anyone who has ever loved | Esther Perel,TED
24,H_8y0WLm78U,The price of shame | Monica Lewinsky,TED
25,R1vskiVDwl4,Celeste Headlee: 10 ways to have a better conversation | TED,TED
26,D9Ihs241zeg,Chimamanda Ngozi Adichie: The danger of a single story | TED,TED
27,-moW9jvvMr4,A simple way to break a bad habit | Judson Brewer,TED
28,6diqpGKOvic,Can you really tell if a kid is lying? | Kang Lee,TED
29,H14bBuluwB8,Grit: the power of passion and perseverance | Angela Lee Duckworth,TED
30,qYvXk_bqlBk,"Who are you, really? The puzzle of personality | Brian Little",TED
31,w2itwFJCgFQ,The astounding athletic power of quadcopters | Raffaello D'Andrea,TED
