,filepath,label,tag
8903,/content/drive/MyDrive/dataset/LFW/LFW_2930.jpg,0,LFW
35892,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_062882.png,0,CelebA
16138,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_081858.png,0,CelebA
32728,/content/drive/MyDrive/data/ffhq/fake/seed24283-0.png,1,FFHQ_StyleGAN3XL
38558,/content/drive/MyDrive/data/ffhq/fake/seed24739-2.png,1,FFHQ_StyleGAN3XL
19585,/content/drive/MyDrive/data/ffhq/real/15418.png,0,FFHQ
34069,/content/drive/MyDrive/data/ffhq/fake/seed23618-1.png,1,FFHQ_StyleGAN3XL
25900,/content/drive/MyDrive/data/ffhq/real/10194.png,0,FFHQ
26809,/content/drive/MyDrive/data/ffhq/fake/seed21803-1.png,1,FFHQ_StyleGAN3XL
27103,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_071150.png,0,CelebA
4798,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_095697.png,0,CelebA
12575,/content/drive/MyDrive/dataset/LFW/LFW_0300.jpg,0,LFW
12604,/content/drive/MyDrive/data/ffhq/fake/seed19252-0.png,1,FFHQ_StyleGAN3XL
45377,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_054103.png,0,CelebA
3031,/content/drive/MyDrive/dataset/CelebA_starGAN/CelebA_starGAN_1898.png,1,CelebA_StarGAN
18711,/content/drive/MyDrive/data/ffhq/fake/seed19778-3.png,1,FFHQ_StyleGAN3XL
2104,/content/drive/MyDrive/dataset/CelebA_starGAN/CelebA_starGAN_3088.png,1,CelebA_StarGAN
14218,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_083860.png,0,CelebA
36128,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_063662.png,0,CelebA
830,/content/drive/MyDrive/dataset/LFW/LFW_12905.jpg,0,LFW
6127,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_093636.png,0,CelebA
17396,/content/drive/MyDrive/data/ffhq/real/17630.png,0,FFHQ
5102,/content/drive/MyDrive/dataset/LFW/LFW_7173.jpg,0,LFW
36821,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_062852.png,0,CelebA
4658,/content/drive/MyDrive/dataset/CelebA_starGAN/CelebA_starGAN_1332.png,1,CelebA_StarGAN
17281,/content/drive/MyDrive/data/ffhq/real/17713.png,0,FFHQ
28233,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_071099.png,0,CelebA
7394,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_093220.png,0,CelebA
17305,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_081551.png,0,CelebA
552,/content/drive/MyDrive/dataset/LFW/LFW_13093.jpg,0,LFW
1744,/content/drive/MyDrive/data/ffhq/fake/seed106454-0.png,1,FFHQ_StyleGAN3XL
97,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_098513.png,0,CelebA
32657,/content/drive/MyDrive/data/ffhq/real/03216.png,0,FFHQ
34669,/content/drive/MyDrive/data/ffhq/fake/seed23768-1.png,1,FFHQ_StyleGAN3XL
27782,/content/drive/MyDrive/data/ffhq/real/06467.png,0,FFHQ
15181,/content/drive/MyDrive/data/ffhq/real/19831.png,0,FFHQ
304,/content/drive/MyDrive/dataset/LFW/LFW_12692.jpg,0,LFW
4652,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_094691.png,0,CelebA
18707,/content/drive/MyDrive/data/ffhq/real/16300.png,0,FFHQ
19358,/content/drive/MyDrive/data/ffhq/real/15637.png,0,FFHQ
644,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_099571.png,0,CelebA
38969,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_060726.png,0,CelebA
1992,/content/drive/MyDrive/data/ffhq/real/33059.png,0,FFHQ
4372,/content/drive/MyDrive/dataset/CelebA_starGAN/CelebA_starGAN_1253.png,1,CelebA_StarGAN
11315,/content/drive/MyDrive/data/ffhq/fake/seed17429-3.png,1,FFHQ_StyleGAN3XL
21460,/content/drive/MyDrive/data/ffhq/real/12541.png,0,FFHQ
37804,/content/drive/MyDrive/data/ffhq/fake/seed25051-0.png,1,FFHQ_StyleGAN3XL
11214,/content/drive/MyDrive/data/ffhq/fake/seed19404-2.png,1,FFHQ_StyleGAN3XL
6245,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_092292.png,0,CelebA
1537,/content/drive/MyDrive/dataset/CelebA_starGAN/CelebA_starGAN_5991.png,1,CelebA_StarGAN
22425,/content/drive/MyDrive/data/ffhq/fake/seed20707-1.png,1,FFHQ_StyleGAN3XL
5976,/content/drive/MyDrive/dataset/CelebA_starGAN/CelebA_starGAN_1220.png,1,CelebA_StarGAN
392,/content/drive/MyDrive/dataset/CelebA_starGAN/CelebA_starGAN_5103.png,1,CelebA_StarGAN
10177,/content/drive/MyDrive/data/ffhq/fake/seed17645-1.png,1,FFHQ_StyleGAN3XL
10711,/content/drive/MyDrive/dataset/LFW/LFW_3948.jpg,0,LFW
3470,/content/drive/MyDrive/data/ffhq/real/31542.png,0,FFHQ
8052,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_091032.png,0,CelebA
32816,/content/drive/MyDrive/data/ffhq/real/03079.png,0,FFHQ
18160,/content/drive/MyDrive/data/ffhq/fake/seed19641-0.png,1,FFHQ_StyleGAN3XL
4242,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_095999.png,0,CelebA
30181,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_070271.png,0,CelebA
4750,/content/drive/MyDrive/dataset/LFW/LFW_9976.jpg,0,LFW
2230,/content/drive/MyDrive/data/ffhq/fake/seed106075-2.png,1,FFHQ_StyleGAN3XL
5720,/content/drive/MyDrive/dataset/CelebA_starGAN/CelebA_starGAN_1344.png,1,CelebA_StarGAN
20504,/content/drive/MyDrive/data/ffhq/real/14493.png,0,FFHQ
2783,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_097634.png,0,CelebA
2014,/content/drive/MyDrive/data/ffhq/fake/seed106021-2.png,1,FFHQ_StyleGAN3XL
27745,/content/drive/MyDrive/data/ffhq/fake/seed21537-1.png,1,FFHQ_StyleGAN3XL
42929,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_058932.png,0,CelebA
9600,/content/drive/MyDrive/data/ffhq/fake/seed18001-0.png,1,FFHQ_StyleGAN3XL
7752,/content/drive/MyDrive/dataset/LFW/LFW_5476.jpg,0,LFW
37410,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_060593.png,0,CelebA
29085,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_068930.png,0,CelebA
8378,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_092623.png,0,CelebA
15242,/content/drive/MyDrive/data/ffhq/real/19758.png,0,FFHQ
2562,/content/drive/MyDrive/data/ffhq/fake/seed106158-2.png,1,FFHQ_StyleGAN3XL
6260,/content/drive/MyDrive/dataset/LFW/LFW_8116.jpg,0,LFW
36501,/content/drive/MyDrive/data/ffhq/fake/seed25225-1.png,1,FFHQ_StyleGAN3XL
24237,/content/drive/MyDrive/data/ffhq/fake/seed22160-1.png,1,FFHQ_StyleGAN3XL
25840,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_073685.png,0,CelebA
25860,/content/drive/MyDrive/data/ffhq/fake/seed22066-0.png,1,FFHQ_StyleGAN3XL
36336,/content/drive/MyDrive/data/ffhq/fake/seed25184-0.png,1,FFHQ_StyleGAN3XL
16236,/content/drive/MyDrive/data/ffhq/fake/seed20160-0.png,1,FFHQ_StyleGAN3XL
28729,/content/drive/MyDrive/data/ffhq/fake/seed23283-1.png,1,FFHQ_StyleGAN3XL
10488,/content/drive/MyDrive/dataset/LFW/LFW_4671.jpg,0,LFW
6105,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_092497.png,0,CelebA
23572,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_078625.png,0,CelebA
13315,/content/drive/MyDrive/data/ffhq/real/21679.png,0,FFHQ
25032,/content/drive/MyDrive/data/ffhq/fake/seed21859-0.png,1,FFHQ_StyleGAN3XL
4995,/content/drive/MyDrive/dataset/LFW/LFW_8549.jpg,0,LFW
20639,/content/drive/MyDrive/data/ffhq/fake/seed21260-3.png,1,FFHQ_StyleGAN3XL
39507,/content/drive/MyDrive/data/ffhq/fake/seed24552-3.png,1,FFHQ_StyleGAN3XL
11903,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_086418.png,0,CelebA
16589,/content/drive/MyDrive/data/ffhq/real/18396.png,0,FFHQ
8941,/content/drive/MyDrive/dataset/LFW/LFW_2812.jpg,0,LFW
2791,/content/drive/MyDrive/dataset/LFW/LFW_9977.jpg,0,LFW
25196,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_074077.png,0,CelebA
43846,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_056902.png,0,CelebA
15237,/content/drive/MyDrive/data/ffhq/fake/seed20410-1.png,1,FFHQ_StyleGAN3XL
33253,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_066202.png,0,CelebA
32153,/content/drive/MyDrive/data/ffhq/fake/seed24139-1.png,1,FFHQ_StyleGAN3XL
12149,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_087885.png,0,CelebA
45281,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_053282.png,0,CelebA
10198,/content/drive/MyDrive/data/ffhq/fake/seed17650-2.png,1,FFHQ_StyleGAN3XL
29371,/content/drive/MyDrive/data/ffhq/fake/seed22943-3.png,1,FFHQ_StyleGAN3XL
48063,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_050064.png,0,CelebA
606,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_098894.png,0,CelebA
3633,/content/drive/MyDrive/dataset/CelebA_starGAN/CelebA_starGAN_3901.png,1,CelebA_StarGAN
38424,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_061182.png,0,CelebA
39527,/content/drive/MyDrive/data/ffhq/fake/seed24557-3.png,1,FFHQ_StyleGAN3XL
14464,/content/drive/MyDrive/data/ffhq/real/20547.png,0,FFHQ
21222,/content/drive/MyDrive/data/ffhq/fake/seed20906-2.png,1,FFHQ_StyleGAN3XL
7372,/content/drive/MyDrive/dataset/LFW/LFW_5455.jpg,0,LFW
25837,/content/drive/MyDrive/data/ffhq/fake/seed22060-1.png,1,FFHQ_StyleGAN3XL
25335,/content/drive/MyDrive/data/ffhq/fake/seed21934-3.png,1,FFHQ_StyleGAN3XL
37959,/content/drive/MyDrive/data/ffhq/fake/seed25089-3.png,1,FFHQ_StyleGAN3XL
15180,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_083964.png,0,CelebA
8137,/content/drive/MyDrive/data/ffhq/real/26873.png,0,FFHQ
2280,/content/drive/MyDrive/dataset/LFW/LFW_8736.jpg,0,LFW
8901,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_092965.png,0,CelebA
14620,/content/drive/MyDrive/data/ffhq/real/20381.png,0,FFHQ
16697,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_086198.png,0,CelebA
16539,/content/drive/MyDrive/data/ffhq/fake/seed20235-3.png,1,FFHQ_StyleGAN3XL
5466,/content/drive/MyDrive/dataset/CelebA_starGAN/CelebA_starGAN_0336.png,1,CelebA_StarGAN
3157,/content/drive/MyDrive/dataset/LFW/LFW_10175.jpg,0,LFW
34266,/content/drive/MyDrive/data/ffhq/real/00722.png,0,FFHQ
23987,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_077445.png,0,CelebA
491,/content/drive/MyDrive/data/ffhq/fake/seed106640-3.png,1,FFHQ_StyleGAN3XL
19525,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_080325.png,0,CelebA
27349,/content/drive/MyDrive/data/ffhq/real/06849.png,0,FFHQ
5648,/content/drive/MyDrive/dataset/LFW/LFW_7076.jpg,0,LFW
6272,/content/drive/MyDrive/dataset/LFW/LFW_7506.jpg,0,LFW
3373,/content/drive/MyDrive/data/ffhq/fake/seed105861-1.png,1,FFHQ_StyleGAN3XL
938,/content/drive/MyDrive/data/ffhq/fake/seed106752-2.png,1,FFHQ_StyleGAN3XL
9953,/content/drive/MyDrive/data/ffhq/fake/seed18089-1.png,1,FFHQ_StyleGAN3XL
14605,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_085249.png,0,CelebA
8199,/content/drive/MyDrive/data/ffhq/real/26794.png,0,FFHQ
34339,/content/drive/MyDrive/data/ffhq/fake/seed23685-3.png,1,FFHQ_StyleGAN3XL
26691,/content/drive/MyDrive/data/ffhq/real/08451.png,0,FFHQ
30485,/content/drive/MyDrive/data/ffhq/fake/seed22722-1.png,1,FFHQ_StyleGAN3XL
11184,/content/drive/MyDrive/data/ffhq/real/23823.png,0,FFHQ
15140,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_084177.png,0,CelebA
27628,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_073310.png,0,CelebA
16679,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_082249.png,0,CelebA
