,filepath,label,tag
7246,/content/drive/MyDrive/data/ffhq/fake/seed18412-2.png,1,FFHQ_StyleGAN3XL
8288,/content/drive/MyDrive/data/ffhq/fake/seed18173-0.png,1,FFHQ_StyleGAN3XL
25288,/content/drive/MyDrive/data/ffhq/fake/seed21923-0.png,1,FFHQ_StyleGAN3XL
26272,/content/drive/MyDrive/data/ffhq/real/06021.png,0,FFHQ
33719,/content/drive/MyDrive/data/ffhq/real/01264.png,0,FFHQ
28592,/content/drive/MyDrive/data/ffhq/fake/seed23249-0.png,1,FFHQ_StyleGAN3XL
31040,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_069458.png,0,CelebA
26406,/content/drive/MyDrive/data/ffhq/real/08732.png,0,FFHQ
27042,/content/drive/MyDrive/data/ffhq/fake/seed23361-2.png,1,FFHQ_StyleGAN3XL
4310,/content/drive/MyDrive/data/ffhq/fake/seed17178-2.png,1,FFHQ_StyleGAN3XL
25804,/content/drive/MyDrive/data/ffhq/real/10289.png,0,FFHQ
34646,/content/drive/MyDrive/data/ffhq/real/00357.png,0,FFHQ
17501,/content/drive/MyDrive/data/ffhq/fake/seed19976-1.png,1,FFHQ_StyleGAN3XL
45595,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_053722.png,0,CelebA
13397,/content/drive/MyDrive/data/ffhq/real/21603.png,0,FFHQ
90,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_099378.png,0,CelebA
27562,/content/drive/MyDrive/data/ffhq/real/06662.png,0,FFHQ
7057,/content/drive/MyDrive/dataset/LFW/LFW_4680.jpg,0,LFW
576,/content/drive/MyDrive/dataset/LFW/LFW_11326.jpg,0,LFW
10956,/content/drive/MyDrive/data/ffhq/fake/seed17840-0.png,1,FFHQ_StyleGAN3XL
36664,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_064469.png,0,CelebA
3265,/content/drive/MyDrive/data/ffhq/fake/seed17417-1.png,1,FFHQ_StyleGAN3XL
25264,/content/drive/MyDrive/data/ffhq/real/10829.png,0,FFHQ
26836,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_073465.png,0,CelebA
8613,/content/drive/MyDrive/data/ffhq/fake/seed18254-1.png,1,FFHQ_StyleGAN3XL
9727,/content/drive/MyDrive/data/ffhq/fake/seed18032-3.png,1,FFHQ_StyleGAN3XL
4340,/content/drive/MyDrive/data/ffhq/real/30649.png,0,FFHQ
27888,/content/drive/MyDrive/dataset/CelebA/CelebA1/CelebA_072947.png,0,CelebA
36192,/content/drive/MyDrive/data/ffhq/fake/seed25148-0.png,1,FFHQ_StyleGAN3XL
30102,/content/drive/MyDrive/data/ffhq/fake/seed22626-2.png,1,FFHQ_StyleGAN3XL
